Date,Time,Sale_Price,Units_Sold,Revenue
2026-04-01,09:33:47,797.5,13,10367.5
2026-04-02,09:44:55,711.96,11,7831.56
2026-04-03,10:27:38,848.46,21,17817.66
2026-04-04,15:06:42,662.8,34,22535.2
2026-04-05,19:58:24,804.03,41,32965.23
2026-04-06,18:12:39,723.87,40,28954.8
2026-04-07,12:53:06,788.49,43,33905.07
2026-04-08,12:31:06,621.09,42,26085.78
2026-04-09,19:44:20,652.5,57,37192.5
2026-04-10,09:59:21,836.65,33,27609.45
2026-04-11,16:27:34,625.48,37,23142.76
2026-04-12,19:49:12,726.87,34,24713.58
2026-04-13,15:17:42,676.94,38,25723.72
2026-04-14,11:19:52,663.51,23,15260.73
2026-04-15,17:28:55,787.02,24,18888.48
2026-04-16,12:37:47,595.12,22,13092.64
2026-04-17,15:33:19,744.43,8,5955.44
2026-04-18,18:47:02,725.61,11,7981.71
2026-04-19,12:17:17,753.0,1,753.0
2026-04-20,12:53:59,652.51,1,652.51
2026-04-21,17:33:38,799.61,1,799.61
2026-04-22,14:18:35,771.56,1,771.56
2026-04-23,12:02:45,830.66,1,830.66
2026-04-24,15:48:58,668.05,1,668.05
2026-04-25,20:48:50,737.63,2,1475.26
2026-04-26,10:24:16,606.24,1,606.24
2026-04-27,18:01:22,515.48,1,515.48
2026-04-28,11:15:10,1035.05,6,6210.3
2026-04-29,12:49:33,658.98,2,1317.96
2026-04-30,16:34:26,725.35,4,2901.4
2026-05-01,13:50:12,920.22,21,19324.62
2026-05-02,18:14:30,567.61,27,15325.47
2026-05-03,10:55:10,764.65,36,27527.4
2026-05-04,16:04:06,569.67,22,12532.74
2026-05-05,09:03:26,844.43,26,21955.18
2026-05-06,14:58:38,537.67,44,23657.48
2026-05-07,15:12:41,505.04,50,25252.0
2026-05-08,15:30:19,692.17,51,35300.67
2026-05-09,20:32:03,730.01,45,32850.45
2026-05-10,15:13:23,712.12,45,32045.4
2026-05-11,14:02:21,784.15,37,29013.55
2026-05-12,13:07:00,840.53,47,39504.91
2026-05-13,20:12:22,1018.52,21,21388.92
2026-05-14,10:46:14,770.98,31,23900.38
2026-05-15,09:27:58,761.76,17,12949.92
2026-05-16,18:23:47,764.85,23,17591.55
2026-05-17,13:29:58,546.62,10,5466.2
2026-05-18,11:45:14,813.14,13,10570.82
2026-05-19,16:44:50,517.5,10,5175.0
2026-05-20,15:11:39,852.25,11,9374.75
2026-05-21,20:49:17,915.38,1,915.38
2026-05-22,09:44:53,773.66,1,773.66
2026-05-23,17:11:07,691.98,1,691.98
2026-05-24,17:15:23,843.53,1,843.53
2026-05-25,10:00:27,988.94,1,988.94
2026-05-26,16:12:19,1029.84,1,1029.84
2026-05-27,20:55:41,674.11,1,674.11
2026-05-28,15:03:54,762.44,9,6861.96
2026-05-29,14:00:47,636.09,11,6996.99
2026-05-30,16:15:05,740.58,11,8146.38
2026-05-31,11:50:30,724.43,15,10866.45
2026-06-01,13:21:47,454.14,25,11353.5
2026-06-02,15:06:16,673.87,32,21563.84
2026-06-03,15:36:16,816.97,36,29410.92
2026-06-04,17:21:20,524.13,28,14675.64
2026-06-05,09:21:46,765.5,51,39040.5
2026-06-06,10:52:56,573.65,56,32124.4
2026-06-07,16:34:11,733.26,29,21264.54
2026-06-08,11:37:54,897.97,50,44898.5
2026-06-09,20:11:34,658.33,53,34891.49
2026-06-10,15:05:59,720.27,42,30251.34
2026-06-11,10:32:10,552.17,33,18221.61
2026-06-12,17:08:40,995.17,38,37816.46
2026-06-13,10:02:28,614.81,31,19059.11
2026-06-14,17:52:48,837.59,28,23452.52
2026-06-15,18:02:42,779.42,35,27279.7
2026-06-16,12:45:45,913.21,14,12784.94
2026-06-17,09:11:03,544.19,7,3809.33
2026-06-18,18:39:26,654.42,5,3272.1
2026-06-19,11:13:14,716.97,1,716.97
2026-06-20,16:47:01,508.36,6,3050.16
2026-06-21,17:25:03,897.7,1,897.7
2026-06-22,09:55:04,623.82,1,623.82
2026-06-23,19:55:53,713.4,1,713.4
2026-06-24,13:54:35,696.2,1,696.2
2026-06-25,15:38:58,806.17,1,806.17
2026-06-26,15:34:24,825.36,1,825.36
2026-06-27,09:27:16,690.94,9,6218.46
2026-06-28,14:34:40,612.53,13,7962.89
2026-06-29,16:42:08,635.67,12,7628.04
2026-06-30,16:25:36,845.92,33,27915.36
2026-07-01,16:57:53,714.51,33,23578.83
2026-07-02,19:25:05,699.22,24,16781.28
2026-07-03,09:14:14,792.38,41,32487.58
2026-07-04,15:49:08,552.15,52,28711.8
2026-07-05,19:43:43,963.47,40,38538.8
2026-07-06,11:03:12,649.85,49,31842.65
2026-07-07,14:59:16,820.3,47,38554.1
2026-07-08,19:42:39,863.16,29,25031.64
2026-07-09,16:18:29,799.25,43,34367.75
2026-07-10,15:05:19,806.19,40,32247.6
2026-07-11,10:22:11,855.56,48,41066.88
2026-07-12,18:09:30,929.05,35,32516.75
2026-07-13,12:31:28,795.85,29,23079.65
2026-07-14,16:02:22,785.98,25,19649.5
2026-07-15,19:19:17,716.94,29,20791.26
2026-07-16,09:38:47,524.74,19,9970.06
2026-07-17,20:19:32,702.3,7,4916.1
2026-07-18,20:15:45,807.59,4,3230.36
2026-07-19,09:03:17,672.86,11,7401.46
2026-07-20,15:31:49,861.73,1,861.73
2026-07-21,18:38:18,808.13,1,808.13
2026-07-22,13:11:27,926.48,1,926.48
2026-07-23,15:17:51,673.42,1,673.42
2026-07-24,15:59:44,787.26,1,787.26
2026-07-25,16:44:08,817.04,1,817.04
2026-07-26,20:41:47,511.81,5,2559.05
2026-07-27,14:44:26,715.43,17,12162.31
2026-07-28,13:21:48,630.4,6,3782.4
2026-07-29,16:19:30,987.39,8,7899.12
2026-07-30,09:46:51,648.52,15,9727.8
2026-07-31,10:49:06,736.49,17,12520.33
2026-08-01,18:39:14,873.66,29,25336.14
2026-08-02,17:23:26,603.93,35,21137.55
2026-08-03,20:25:06,596.39,56,33397.84
2026-08-04,12:10:11,812.07,41,33294.87
2026-08-05,09:48:31,756.32,55,41597.6
2026-08-06,09:28:54,689.72,55,37934.6
2026-08-07,14:03:47,589.71,48,28306.08
2026-08-08,11:24:40,801.21,60,48072.6
2026-08-09,14:22:40,834.93,44,36736.92
2026-08-10,14:05:43,787.84,51,40179.84
2026-08-11,10:35:59,888.48,44,39093.12
2026-08-12,15:24:38,619.41,38,23537.58
2026-08-13,18:45:53,670.12,34,22784.08
2026-08-14,12:05:11,428.71,33,14147.43
2026-08-15,19:25:04,853.93,7,5977.51
2026-08-16,09:30:02,752.94,13,9788.22
2026-08-17,11:15:55,545.88,19,10371.72
2026-08-18,11:15:20,544.45,18,9800.1
2026-08-19,19:56:24,614.37,1,614.37
2026-08-20,15:05:18,889.13,1,889.13
2026-08-21,14:40:45,709.7,1,709.7
2026-08-22,17:25:06,733.79,1,733.79
2026-08-23,13:37:26,659.16,3,1977.48
2026-08-24,17:37:45,635.64,5,3178.2
2026-08-25,15:59:59,517.2,12,6206.4
2026-08-26,20:39:36,537.55,22,11826.1
2026-08-27,13:32:51,613.18,21,12876.78
2026-08-28,12:17:15,758.67,20,15173.4
2026-08-29,09:34:09,725.05,36,26101.8
2026-08-30,17:46:56,631.89,38,24011.82
2026-08-31,19:36:31,1107.18,26,28786.68
2026-09-01,14:48:52,721.34,30,21640.2
2026-09-02,17:17:35,900.49,32,28815.68
2026-09-03,10:59:18,921.15,48,44215.2
2026-09-04,20:56:56,654.05,44,28778.2
2026-09-05,11:03:20,828.81,40,33152.4
2026-09-06,20:50:42,733.37,43,31534.91
2026-09-07,13:12:31,589.13,45,26510.85
2026-09-08,09:19:14,840.71,49,41194.79
2026-09-09,10:14:59,681.83,42,28636.86
2026-09-10,10:44:55,751.73,28,21048.44
2026-09-11,12:23:03,703.12,35,24609.2
2026-09-12,17:08:19,748.69,30,22460.7
2026-09-13,12:34:34,672.47,21,14121.87
2026-09-14,18:05:11,823.4,25,20585.0
2026-09-15,10:32:19,974.48,6,5846.88
2026-09-16,20:46:45,889.53,14,12453.42
2026-09-17,09:42:37,760.74,9,6846.66
2026-09-18,19:39:20,758.35,8,6066.8
2026-09-19,13:34:42,744.89,1,744.89
2026-09-20,09:36:40,1036.91,1,1036.91
2026-09-21,09:49:21,769.41,1,769.41
2026-09-22,14:55:57,642.04,1,642.04
2026-09-23,12:19:29,758.29,10,7582.9
2026-09-24,09:47:49,747.32,1,747.32
2026-09-25,16:57:23,705.74,6,4234.44
2026-09-26,15:52:16,824.38,5,4121.9
2026-09-27,19:41:07,958.69,20,19173.8
2026-09-28,15:28:48,632.55,15,9488.25
2026-09-29,16:11:16,838.02,32,26816.64
2026-09-30,14:54:55,584.92,44,25736.48
2026-10-01,10:06:27,610.43,45,27469.35
2026-10-02,15:13:19,747.13,48,35862.24
2026-10-03,18:26:26,645.12,53,34191.36
2026-10-04,14:48:00,617.58,44,27173.52
2026-10-05,10:18:55,638.28,61,38935.08
2026-10-06,10:15:55,902.69,43,38815.67
2026-10-07,20:38:34,673.06,49,32979.94
2026-10-08,20:20:18,389.66,50,19483.0
2026-10-09,14:30:30,666.95,48,32013.6
2026-10-10,13:50:29,892.47,33,29451.51
2026-10-11,10:54:53,688.97,36,24802.92
2026-10-12,12:59:33,828.77,20,16575.4
2026-10-13,09:57:16,605.64,35,21197.4
2026-10-14,11:25:54,602.75,27,16274.25
2026-10-15,11:57:57,719.02,13,9347.26
2026-10-16,10:38:15,668.98,8,5351.84
2026-10-17,14:28:58,704.63,11,7750.93
2026-10-18,17:32:26,961.58,1,961.58
2026-10-19,17:59:12,757.32,2,1514.64
2026-10-20,20:03:10,887.19,6,5323.14
2026-10-21,20:38:39,875.53,1,875.53
2026-10-22,10:33:20,896.74,1,896.74
2026-10-23,17:05:24,809.06,4,3236.24
2026-10-24,16:40:43,804.35,5,4021.75
2026-10-25,20:19:24,1004.21,2,2008.42
2026-10-26,11:30:07,698.01,24,16752.24
2026-10-27,19:23:30,804.14,15,12062.1
2026-10-28,20:14:07,731.24,13,9506.12
2026-10-29,11:16:48,727.28,35,25454.8
2026-10-30,14:09:49,686.9,28,19233.2
2026-10-31,13:50:53,738.62,45,33237.9
2026-11-01,19:03:32,884.21,51,45094.71
2026-11-02,18:03:55,880.05,49,43122.45
2026-11-03,18:23:48,749.93,56,41996.08
2026-11-04,14:11:51,650.2,66,42913.2
2026-11-05,09:57:00,789.66,56,44220.96
2026-11-06,17:40:16,557.38,55,30655.9
2026-11-07,09:05:01,775.78,58,44995.24
2026-11-08,09:11:39,733.04,57,41783.28
2026-11-09,09:03:10,938.01,49,45962.49
2026-11-10,11:54:52,578.57,35,20249.95
2026-11-11,18:55:43,794.38,20,15887.6
2026-11-12,10:41:42,741.54,22,16313.88
2026-11-13,14:29:38,689.34,26,17922.84
2026-11-14,16:24:01,656.71,18,11820.78
2026-11-15,18:36:24,887.0,7,6209.0
2026-11-16,18:05:45,662.68,13,8614.84
2026-11-17,15:24:53,978.55,1,978.55
2026-11-18,09:09:29,586.64,6,3519.84
2026-11-19,19:36:50,840.11,7,5880.77
2026-11-20,18:37:43,896.39,2,1792.78
2026-11-21,19:10:31,740.31,7,5182.17
2026-11-22,11:04:15,742.33,16,11877.28
2026-11-23,10:06:54,708.46,8,5667.68
2026-11-24,12:04:53,745.28,7,5216.96
2026-11-25,14:01:10,625.89,26,16273.14
2026-11-26,18:56:17,936.1,26,24338.6
2026-11-27,13:35:38,681.72,31,21133.32
2026-11-28,11:58:49,791.1,29,22941.9
2026-11-29,18:29:37,731.07,37,27049.59
2026-11-30,09:13:04,658.58,34,22391.72
2026-12-01,16:42:31,657.91,54,35527.14
2026-12-02,20:21:04,500.9,60,30054.0
2026-12-03,20:12:08,837.05,39,32644.95
2026-12-04,12:28:53,814.8,56,45628.8
2026-12-05,20:08:31,601.41,57,34280.37
2026-12-06,20:06:14,739.86,43,31813.98
2026-12-07,10:36:41,563.87,43,24246.41
2026-12-08,14:19:50,736.19,48,35337.12
2026-12-09,19:45:54,742.64,39,28962.96
2026-12-10,17:13:12,769.35,49,37698.15
2026-12-11,11:57:27,773.53,38,29394.14
2026-12-12,11:25:16,776.44,29,22516.76
2026-12-13,15:29:15,734.6,25,18365.0
2026-12-14,15:06:49,655.58,28,18356.24
2026-12-15,15:46:16,714.53,19,13576.07
2026-12-16,10:19:40,840.07,10,8400.7
2026-12-17,09:39:28,597.13,1,597.13
2026-12-18,12:20:39,864.14,22,19011.08
2026-12-19,10:50:55,792.92,1,792.92
2026-12-20,20:22:21,747.94,1,747.94
2026-12-21,10:14:55,732.8,1,732.8
2026-12-22,12:01:33,686.86,10,6868.6
2026-12-23,16:05:47,828.29,8,6626.32
2026-12-24,15:13:06,639.45,20,12789.0
2026-12-25,12:43:23,880.7,2,1761.4
2026-12-26,17:54:57,777.61,29,22550.69
2026-12-27,12:38:41,904.87,19,17192.53
2026-12-28,12:02:46,709.85,32,22715.2
2026-12-29,18:20:21,741.87,44,32642.28
2026-12-30,16:51:52,752.37,44,33104.28
2026-12-31,15:17:57,918.16,45,41317.2
2027-01-01,17:41:29,840.78,53,44561.34
2027-01-02,17:37:04,834.76,53,44242.28
2027-01-03,20:51:15,766.67,50,38333.5
2027-01-04,10:19:37,625.11,53,33130.83
2027-01-05,17:15:49,807.78,52,42004.56
2027-01-06,13:15:38,945.44,39,36872.16
2027-01-07,09:41:31,684.45,54,36960.3
2027-01-08,16:33:56,643.88,46,29618.48
2027-01-09,13:03:19,698.8,39,27253.2
2027-01-10,14:25:08,863.55,39,33678.45
2027-01-11,09:50:51,666.96,28,18674.88
2027-01-12,15:00:06,682.28,22,15010.16
2027-01-13,15:01:39,709.45,15,10641.75
2027-01-14,09:14:36,577.67,19,10975.73
2027-01-15,17:54:53,766.81,11,8434.91
2027-01-16,10:09:02,652.61,3,1957.83
2027-01-17,13:13:22,910.66,1,910.66
2027-01-18,20:02:14,698.79,1,698.79
2027-01-19,10:57:59,930.7,1,930.7
2027-01-20,11:13:07,812.0,1,812.0
2027-01-21,19:59:27,686.83,6,4120.98
2027-01-22,17:02:20,734.18,1,734.18
2027-01-23,19:20:33,711.93,11,7831.23
2027-01-24,13:43:39,888.65,11,9775.15
2027-01-25,14:01:17,767.54,30,23026.2
2027-01-26,16:17:38,740.34,21,15547.14
2027-01-27,14:52:16,662.35,30,19870.5
2027-01-28,11:18:31,695.95,37,25750.15
2027-01-29,13:46:54,770.68,39,30056.52
2027-01-30,12:54:58,672.02,58,38977.16
2027-01-31,16:50:51,589.23,45,26515.35
2027-02-01,19:32:25,759.39,49,37210.11
2027-02-02,16:12:25,608.99,58,35321.42
2027-02-03,16:01:56,1027.41,54,55480.14
2027-02-04,17:56:57,765.63,49,37515.87
2027-02-05,11:18:28,835.29,35,29235.15
2027-02-06,10:39:09,919.81,43,39551.83
2027-02-07,09:19:10,716.14,53,37955.42
2027-02-08,15:39:04,736.23,41,30185.43
2027-02-09,18:38:19,706.96,36,25450.56
2027-02-10,11:33:24,679.73,23,15633.79
2027-02-11,09:18:01,655.84,17,11149.28
2027-02-12,17:08:25,678.25,20,13565.0
2027-02-13,13:41:36,807.43,3,2422.29
2027-02-14,11:10:05,675.64,17,11485.88
2027-02-15,10:27:17,921.53,1,921.53
2027-02-16,14:34:16,911.47,2,1822.94
2027-02-17,09:55:43,723.08,1,723.08
2027-02-18,12:45:00,742.78,1,742.78
2027-02-19,17:09:35,669.71,1,669.71
2027-02-20,11:41:02,649.02,1,649.02
2027-02-21,13:42:44,974.76,10,9747.6
2027-02-22,11:15:30,763.37,26,19847.62
2027-02-23,14:25:31,865.97,25,21649.25
2027-02-24,09:27:59,828.34,27,22365.18
2027-02-25,09:58:26,658.28,28,18431.84
2027-02-26,12:41:24,860.82,38,32711.16
2027-02-27,11:00:53,776.99,48,37295.52
2027-02-28,14:18:48,724.5,45,32602.5
2027-03-01,16:45:32,644.41,42,27065.22
2027-03-02,11:37:15,850.96,46,39144.16
2027-03-03,12:41:36,770.31,65,50070.15
2027-03-04,17:27:25,939.37,50,46968.5
2027-03-05,12:40:45,765.11,31,23718.41
2027-03-06,17:05:24,788.15,42,33102.3
2027-03-07,17:18:19,719.05,49,35233.45
2027-03-08,18:47:27,692.98,56,38806.88
2027-03-09,17:07:02,798.77,42,33548.34
2027-03-10,16:16:51,929.41,44,40894.04
2027-03-11,19:20:20,915.19,28,25625.32
2027-03-12,16:24:06,647.78,18,11660.04
2027-03-13,19:44:09,604.78,24,14514.72
2027-03-14,15:24:09,815.0,21,17115.0
2027-03-15,12:54:29,559.23,20,11184.6
2027-03-16,18:03:00,887.74,1,887.74
2027-03-17,17:50:43,633.66,8,5069.28
2027-03-18,09:47:29,848.07,23,19505.61
2027-03-19,20:09:18,786.16,1,786.16
2027-03-20,15:28:09,779.03,9,7011.27
2027-03-21,18:47:37,751.02,1,751.02
2027-03-22,11:43:43,729.44,15,10941.6
2027-03-23,20:39:35,602.98,8,4823.84
2027-03-24,11:39:00,656.0,20,13120.0
2027-03-25,13:32:44,500.09,15,7501.35
2027-03-26,10:16:51,958.45,23,22044.35
2027-03-27,16:41:03,656.58,26,17071.08
2027-03-28,19:44:06,907.14,28,25399.92
2027-03-29,17:36:17,592.67,46,27262.82
2027-03-30,17:06:08,725.45,42,30468.9
2027-03-31,16:04:31,897.99,49,44001.51
2027-04-01,15:18:07,705.53,52,36687.56
2027-04-02,09:14:11,825.62,53,43757.86
2027-04-03,14:01:11,610.13,61,37217.93
2027-04-04,10:53:53,890.26,50,44513.0
2027-04-05,12:18:58,807.11,46,37127.06
2027-04-06,18:46:35,703.83,49,34487.67
2027-04-07,16:15:44,579.49,61,35348.89
2027-04-08,10:06:40,798.29,45,35923.05
2027-04-09,10:24:12,646.41,37,23917.17
2027-04-10,18:51:46,527.33,43,22675.19
2027-04-11,16:47:54,722.94,35,25302.9
2027-04-12,19:35:55,632.53,31,19608.43
2027-04-13,20:19:30,928.5,11,10213.5
2027-04-14,17:58:40,565.97,15,8489.55
2027-04-15,19:38:24,690.73,9,6216.57
2027-04-16,10:05:13,633.24,9,5699.16
2027-04-17,13:50:50,700.21,12,8402.52
2027-04-18,15:41:47,695.1,9,6255.9
2027-04-19,14:46:04,826.47,7,5785.29
2027-04-20,14:41:31,737.74,17,12541.58
2027-04-21,19:41:34,622.0,17,10574.0
2027-04-22,09:56:13,857.5,10,8575.0
2027-04-23,12:22:41,645.19,10,6451.9
2027-04-24,17:53:16,509.68,20,10193.6
2027-04-25,16:32:02,813.41,23,18708.43
2027-04-26,18:40:50,527.22,41,21616.02
2027-04-27,16:35:50,729.12,37,26977.44
2027-04-28,16:37:52,670.94,38,25495.72
2027-04-29,16:59:21,825.25,40,33010.0
2027-04-30,16:02:31,896.69,47,42144.43
2027-05-01,15:25:32,631.84,61,38542.24
2027-05-02,13:15:05,682.19,68,46388.92
2027-05-03,11:43:37,728.97,55,40093.35
2027-05-04,12:07:41,885.33,54,47807.82
2027-05-05,09:06:57,944.2,43,40600.6
2027-05-06,20:32:56,757.4,67,50745.8
2027-05-07,14:39:18,837.4,39,32658.6
2027-05-08,09:54:27,670.63,56,37555.28
2027-05-09,13:46:49,835.65,38,31754.7
2027-05-10,15:40:52,645.09,35,22578.15
2027-05-11,19:41:53,829.6,23,19080.8
2027-05-12,16:14:52,807.87,43,34738.41
2027-05-13,12:08:58,639.28,25,15982.0
2027-05-14,09:06:52,677.34,19,12869.46
2027-05-15,11:05:43,625.42,22,13759.24
2027-05-16,20:12:35,804.5,5,4022.5
2027-05-17,18:18:16,589.09,11,6479.99
2027-05-18,15:32:28,668.19,9,6013.71
2027-05-19,16:36:24,755.01,4,3020.04
2027-05-20,19:45:56,630.08,19,11971.52
2027-05-21,14:14:48,671.12,10,6711.2
2027-05-22,18:55:35,733.77,3,2201.31
2027-05-23,13:51:46,884.27,13,11495.51
2027-05-24,14:41:03,732.3,24,17575.2
2027-05-25,13:59:15,961.27,17,16341.59
2027-05-26,19:30:41,536.97,31,16646.07
2027-05-27,10:25:04,1080.14,28,30243.92
2027-05-28,18:41:51,733.16,51,37391.16
2027-05-29,15:26:30,820.06,42,34442.52
2027-05-30,11:02:37,716.92,62,44449.04
2027-05-31,18:01:19,739.94,50,36997.0
2027-06-01,19:03:28,673.94,60,40436.4
2027-06-02,14:35:50,757.96,54,40929.84
2027-06-03,10:34:04,745.06,63,46938.78
2027-06-04,09:48:34,721.85,49,35370.65
2027-06-05,14:55:52,847.09,58,49131.22
2027-06-06,12:59:57,725.72,53,38463.16
2027-06-07,20:32:35,740.37,43,31835.91
2027-06-08,09:12:08,873.82,40,34952.8
2027-06-09,09:11:38,794.87,48,38153.76
2027-06-10,20:05:54,875.78,32,28024.96
2027-06-11,12:52:03,781.62,22,17195.64
2027-06-12,13:39:39,771.67,14,10803.38
2027-06-13,11:03:20,809.21,21,16993.41
2027-06-14,15:47:46,851.39,14,11919.46
2027-06-15,19:15:39,670.16,18,12062.88
2027-06-16,10:12:40,743.36,1,743.36
2027-06-17,18:47:50,552.16,4,2208.64
2027-06-18,13:45:01,939.83,13,12217.79
2027-06-19,17:58:27,585.83,15,8787.45
2027-06-20,10:31:26,814.42,14,11401.88
2027-06-21,11:18:55,855.01,6,5130.06
2027-06-22,14:56:04,773.39,11,8507.29
2027-06-23,19:20:59,748.23,30,22446.9
2027-06-24,15:32:56,772.04,35,27021.4
2027-06-25,17:47:47,779.27,25,19481.75
2027-06-26,12:05:30,812.81,29,23571.49
2027-06-27,15:06:12,542.91,47,25516.77
2027-06-28,20:13:39,715.28,43,30757.04
2027-06-29,09:19:27,758.88,46,34908.48
2027-06-30,16:33:12,802.89,46,36932.94
2027-07-01,09:17:42,831.36,53,44062.08
2027-07-02,14:09:00,790.58,50,39529.0
2027-07-03,15:44:04,847.83,49,41543.67
2027-07-04,14:59:05,803.94,59,47432.46
2027-07-05,15:01:29,716.94,56,40148.64
2027-07-06,12:06:14,682.61,57,38908.77
2027-07-07,15:22:05,572.3,40,22892.0
2027-07-08,19:24:57,518.52,48,24888.96
2027-07-09,11:35:48,594.29,56,33280.24
2027-07-10,15:35:14,893.17,29,25901.93
2027-07-11,19:35:02,577.37,38,21940.06
2027-07-12,11:28:44,784.52,29,22751.08
2027-07-13,19:18:18,560.14,29,16244.06
2027-07-14,15:46:34,725.1,17,12326.7
2027-07-15,10:53:21,762.29,16,12196.64
2027-07-16,19:26:54,711.55,16,11384.8
2027-07-17,10:52:11,947.95,10,9479.5
2027-07-18,15:33:45,871.32,1,871.32
2027-07-19,13:48:57,572.23,2,1144.46
2027-07-20,18:48:27,624.29,4,2497.16
2027-07-21,10:57:36,789.05,13,10257.65
2027-07-22,12:11:56,985.1,20,19702.0
2027-07-23,09:25:42,693.84,18,12489.12
2027-07-24,15:01:17,837.68,34,28481.12
2027-07-25,19:51:21,662.09,33,21848.97
2027-07-26,16:39:29,548.34,40,21933.6
2027-07-27,15:28:42,1007.41,34,34251.94
2027-07-28,14:17:45,498.68,41,20445.88
2027-07-29,13:58:44,1128.36,48,54161.28
2027-07-30,15:15:56,879.2,66,58027.2
2027-07-31,16:29:22,759.04,58,44024.32
2027-08-01,16:51:35,846.39,45,38087.55
2027-08-02,12:50:07,798.8,64,51123.2
2027-08-03,20:45:48,816.26,46,37547.96
2027-08-04,16:20:32,771.41,48,37027.68
2027-08-05,13:55:49,723.31,52,37612.12
2027-08-06,20:30:59,779.69,50,38984.5
2027-08-07,16:17:36,590.8,41,24222.8
